"PlantID","PlantName","EcotypeID","Accession","ExperimentID","User","ExperimentConditionName","ExperimentGrowthLocation","TrayPosition","Pot Number"
16099,"GC02-259","259","Fr36PAR-4","BVZ0036","Keng","Coastal","GC02","5D4",99
16181,"GC02-7300","7300","CS28640","BVZ0036","Keng","Coastal","GC02","10A1",181
16206,"GC02-7102","7102","CS28210","BVZ0036","Keng","Coastal","GC02","11B1",206
16231,"GC02-5160","5160","UKKT06351","BVZ0036","Keng","Coastal","GC02","12C1",231
16257,"GC02-7163","7163","CS28336","BVZ0036","Keng","Coastal","GC02","13D2",257
16344,"GC05-5245","5245","UKKT06482","BVZ0036","Keng","Inland","GC05","2A4",24
16350,"GC05-7246","7246","CS28489","BVZ0036","Keng","Inland","GC05","2B5",30
16384,"GC05-8316","8316","1Kin-0","BVZ0036","Keng","Inland","GC05","4A4",64
16385,"GC05-8329","8329","2Lm-2","BVZ0036","Keng","Inland","GC05","4A5",65
16446,"GC05-8357","8357","Pla-0","BVZ0036","Keng","Inland","GC05","7B1",126
16501,"GC05-8302","8302","1Gy-0","BVZ0036","Keng","Inland","GC05","10A1",180
16585,"GC05-8796","8796","1PNA4.101","BVZ0036","Keng","Inland","GC05","14A5",260
16605,"GC05-8398","8398","Uod-1","BVZ0036","Keng","Inland","GC05","15A5",278
16607,"GC05-7392","7392","CS28810","BVZ0036","Keng","Inland","GC05","15B2",280
16628,"GC05-8343","8343","2Na-1","BVZ0036","Keng","Inland","GC05","16B3",300
